2017,Bangalore weather,,,,,,,,,,,,,,,,
DATE,temp_high,temp_avg,temp_low,dewpt_high,dewpt_avg,dewpt_low,hum_high,hum_avg,hum_low,press_high,press_avg,press_low,vis_high,vis_avg,vis_low,wind_high,wind_avg
01/01/17,27,19,12,16,13,11,100,66,31,1019,1017,1014,10,6,0,19,8
02/01/17,28,22,16,16,13,10,88,56,28,1019,1017,1015,10,9,3,10,8
03/01/17,28,21,14,16,11,7,94,48,24,1019,1017,1014,10,6,3,14,6
04/01/17,28,21,15,14,12,10,88,53,32,1019,1016,1014,10,7,2,14,6
05/01/17,28,21,15,16,12,9,94,54,23,1018,1016,1014,10,7,3,14,6
06/01/17,28,21,14,16,12,8,94,55,21,1018,1016,1013,10,4,0,14,10
07/01/17,28,21,14,16,13,11,100,66,37,1017,1014,1012,8,4,0,10,8
08/01/17,27,21,14,15,13,10,94,59,29,1016,1014,1011,6,5,2,19,11
09/01/17,28,21,14,14,12,9,94,61,27,1017,1015,1012,8,5,3,11,8
10/01/17,28,21,14,15,13,10,88,54,32,1017,1015,1013,8,6,3,11,6
11/01/17,28,22,16,16,13,11,88,56,35,1018,1015,1013,8,5,2,11,6
12/01/17,27,21,15,16,13,12,88,58,37,1017,1015,1012,8,6,2,11,6
13/01/17,26,21,16,16,15,13,90,67,39,1017,1015,1013,8,6,1,14,10
14/01/17,26,21,16,15,13,11,83,59,38,1018,1016,1015,8,6,2,23,14
15/01/17,26,20,14,16,12,9,94,58,33,1021,1018,1016,10,6,2,19,13
16/01/17,27,21,15,16,13,8,100,62,26,1020,1019,1016,10,6,2,11,10
17/01/17,27,20,13,15,9,3,100,56,20,1020,1018,1015,10,5,0,14,10
18/01/17,27,19,12,14,12,9,94,57,31,1020,1018,1016,8,6,2,19,14
19/01/17,26,20,14,16,13,12,94,65,37,1020,1018,1016,10,6,2,24,14
20/01/17,28,21,15,16,15,13,100,65,38,1020,1017,1015,8,5,1,23,11
21/01/17,25,22,18,19,17,11,78,69,40,1021,1019,1017,6,5,2,26,14
22/01/17,29,22,16,14,11,7,77,44,25,1022,1020,1017,10,8,2,24,14
23/01/17,28,22,15,14,11,6,77,48,27,1022,1020,1017,10,7,3,24,13
24/01/17,29,22,15,14,12,9,85,47,27,1021,1019,1016,10,6,2,27,14
25/01/17,29,22,15,16,12,7,90,53,25,1021,1019,1016,10,8,1,26,14
26/01/17,26,21,17,20,17,15,100,76,59,1021,1018,1016,6,5,1,19,11
27/01/17,25,22,19,20,19,18,95,83,61,1019,1017,1015,8,5,2,14,10
28/01/17,27,23,19,19,19,18,94,79,62,1019,1017,1015,8,6,3,19,13
29/01/17,29,23,18,19,17,16,95,66,42,1020,1017,1015,10,8,2,19,13
30/01/17,30,23,17,18,14,10,97,59,29,1020,1017,1014,10,5,2,19,8
31/01/17,31,23,17,17,15,10,91,60,19,-,-,-,10,5,2,14,8
01/02/17,30,22,15,16,11,5,98,51,13,-,-,-,10,6,2,11,10
02/02/17,30,22,14,15,11,6,86,47,15,-,-,-,10,5,2,19,11
03/02/17,28,22,15,15,13,11,87,56,24,-,-,-,10,5,2,19,10
04/02/17,28,21,15,15,12,9,90,55,24,-,-,-,10,7,2,19,11
05/02/17,29,21,13,14,11,7,94,51,16,-,-,-,10,4,2,11,11
06/02/17,29,22,14,16,12,9,83,52,20,-,-,-,10,4,2,10,6
07/02/17,31,23,15,13,12,11,60,42,20,-,-,-,10,7,2,11,6
08/02/17,30,23,16,12,9,7,52,36,18,1020,1020,1020,10,6,3,13,11
09/02/17,30,22,14,12,11,9,68,43,18,-,-,-,10,7,3,11,3
10/02/17,31,22,13,9,6,1,57,31,8,-,-,-,10,6,3,14,10
11/02/17,30,22,14,13,10,1,82,50,9,1018,1017,1017,10,5,2,14,8
12/02/17,29,21,13,13,8,4,85,43,14,-,-,-,10,6,0,14,14
13/02/17,28,21,14,14,12,8,92,53,20,1021,1021,1021,10,6,2,23,14
14/02/17,29,22,16,16,14,12,82,58,31,-,-,-,10,4,2,23,13
15/02/17,30,23,17,17,12,8,84,49,19,-,-,-,10,7,2,24,11
16/02/17,29,22,14,12,9,6,66,40,18,-,-,-,10,7,2,26,14
17/02/17,29,22,15,13,12,11,81,51,25,-,-,-,10,5,2,23,14
18/02/17,31,23,16,14,11,7,65,42,17,-,-,-,10,7,3,19,10
19/02/17,31,23,16,15,12,9,74,40,20,1018,1018,1018,10,5,2,11,6
20/02/17,32,24,17,14,12,8,62,36,16,-,-,-,10,4,2,3,0
21/02/17,33,26,17,19,12,8,77,41,13,-,-,-,10,5,2,8,5
22/02/17,34,26,18,13,11,8,41,30,13,-,-,-,10,5,2,11,5
23/02/17,34,26,18,12,9,4,48,29,10,-,-,-,10,7,2,14,6
24/02/17,34,26,17,15,10,3,52,32,8,-,-,-,10,7,2,23,8
25/02/17,34,26,18,15,11,6,66,37,11,-,-,-,10,5,2,19,8
26/02/17,32,26,18,17,13,6,71,43,11,-,-,-,10,5,2,14,5
27/02/17,31,24,18,19,11,-1,98,46,6,-,-,-,10,6,2,27,11
28/02/17,32,24,16,14,7,-4,77,36,4,-,-,-,10,8,2,23,11
01/03/17,31,24,17,10,5,1,44,24,7,-,-,-,10,6,2,23,10
02/03/17,31,24,17,12,7,-3,57,30,5,-,-,-,10,6,3,19,8
03/03/17,32,24,17,18,12,8,100,45,14,-,-,-,10,6,2,19,8
04/03/17,31,25,19,21,13,7,99,43,16,-,-,-,10,6,3,16,10
05/03/17,33,27,20,22,18,14,100,58,25,-,-,-,10,5,2,11,6
06/03/17,32,27,22,21,19,17,91,65,33,-,-,-,10,4,2,32,10
07/03/17,32,27,21,21,19,16,100,62,30,-,-,-,10,6,3,23,6
08/03/17,31,24,19,21,18,11,100,59,20,-,-,-,10,5,3,11,5
09/03/17,32,27,21,22,18,14,100,57,25,-,-,-,10,4,2,14,8
10/03/17,32,27,21,21,17,14,81,49,25,-,-,-,10,6,3,14,10
11/03/17,32,26,20,14,11,8,45,30,16,1017,1017,1017,10,6,3,11,8
12/03/17,34,28,21,18,13,8,59,35,13,-,-,-,10,6,3,13,6
13/03/17,33,27,21,22,18,16,88,61,29,1017,1017,1017,10,8,3,14,8
14/03/17,30,27,23,20,18,17,79,61,40,-,-,-,3,3,3,19,13
15/03/17,30,25,20,19,17,15,82,57,36,1015,1015,1015,10,8,3,23,11
16/03/17,31,24,18,18,16,13,86,50,28,1015,1015,1015,10,7,2,11,8
17/03/17,33,27,21,18,16,13,66,46,24,-,-,-,10,7,3,11,3
18/03/17,34,27,21,20,17,12,74,49,19,-,-,-,10,7,3,11,10
19/03/17,34,27,21,21,16,8,82,50,12,-,-,-,10,6,2,10,6
20/03/17,33,27,21,21,18,14,75,53,24,-,-,-,10,6,3,6,5
21/03/17,32,27,21,21,17,14,78,52,27,1018,1018,1018,10,8,3,14,8
22/03/17,33,27,20,21,17,13,72,50,22,-,-,-,10,8,3,19,8
23/03/17,33,24,19,19,15,8,84,51,14,-,-,-,10,6,2,10,8
24/03/17,34,27,19,17,13,8,66,39,14,-,-,-,10,8,3,11,6
25/03/17,35,28,20,14,12,11,47,31,17,-,-,-,10,7,3,14,6
26/03/17,35,27,19,13,12,8,50,30,19,1013,1013,1013,10,8,3,19,8
27/03/17,34,27,20,14,11,8,46,29,15,-,-,-,10,8,3,19,5
28/03/17,35,28,20,17,13,8,52,35,13,-,-,-,10,10,10,14,8
29/03/17,35,28,21,19,15,9,83,48,14,1016,1016,1016,10,7,3,19,8
30/03/17,35,28,21,20,14,7,69,44,11,1016,1016,1016,10,7,3,19,6
31/03/17,35,28,21,12,11,8,43,26,12,-,-,-,10,7,3,19,10
01/04/17,36,28,20,18,14,11,54,34,16,-,-,-,10,6,3,8,3
02/04/17,35,28,22,21,16,11,84,46,17,-,-,-,10,5,3,14,8
03/04/17,35,29,22,20,16,11,76,44,21,-,-,-,10,7,3,11,11
04/04/17,35,28,21,20,17,15,66,46,24,-,-,-,10,5,3,10,6
05/04/17,34,28,21,21,19,17,79,61,30,1017,1017,1017,10,5,3,14,10
06/04/17,34,28,21,21,19,18,83,63,31,1015,1014,1013,6,5,3,26,8
07/04/17,34,28,21,21,19,17,77,53,27,-,-,-,10,7,3,19,11
08/04/17,36,29,22,19,17,14,65,43,20,-,-,-,10,7,3,19,8
09/04/17,36,29,22,23,18,14,85,50,20,-,-,-,10,7,3,19,10
10/04/17,35,28,22,21,18,15,86,50,23,-,-,-,10,7,3,10,8
11/04/17,36,29,22,19,17,14,67,45,23,-,-,-,10,8,3,14,8
12/04/17,36,29,22,21,18,13,76,47,17,-,-,-,10,7,3,10,3
13/04/17,36,29,22,21,16,6,71,43,10,-,-,-,10,7,3,8,5
14/04/17,35,28,21,22,17,8,82,51,12,1015,1015,1015,10,6,2,11,8
15/04/17,36,28,21,21,17,11,82,49,16,-,-,-,10,7,2,19,10
16/04/17,35,28,22,22,19,17,90,54,32,1009,1009,1009,10,6,3,19,13
17/04/17,35,28,21,19,18,17,78,62,43,1011,1010,1010,10,5,3,27,16
18/04/17,36,29,22,20,19,17,78,51,26,-,-,-,10,6,3,14,11
19/04/17,35,29,22,22,19,17,86,55,27,-,-,-,10,8,3,19,11
20/04/17,34,29,23,22,19,17,82,57,40,1010,1010,1009,10,6,3,27,18
21/04/17,29,24,20,22,21,19,89,69,58,-,-,-,3,3,3,82,29
22/04/17,35,28,22,22,21,18,84,60,29,-,-,-,10,8,3,14,11
23/04/17,36,29,23,23,19,16,92,53,23,-,-,-,10,8,3,14,13
24/04/17,36,29,22,22,18,16,90,47,23,-,-,-,10,6,3,11,10
25/04/17,36,29,23,22,19,16,85,62,36,1016,1015,1014,10,6,3,19,13
26/04/17,35,28,21,21,17,16,66,44,25,-,-,-,10,6,3,11,6
27/04/17,36,29,23,23,19,16,85,56,25,-,-,-,10,7,3,11,8
28/04/17,34,28,22,18,17,16,66,48,26,1015,1015,1015,10,6,3,23,10
29/04/17,36,29,22,19,17,13,83,49,28,1017,1014,1012,8,5,2,47,11
30/04/17,35,27,19,18,17,15,62,43,22,-,-,-,10,7,3,8,5
01/05/17,35,28,21,18,17,15,69,54,28,1017,1015,1013,10,5,3,27,16
02/05/17,33,27,20,18,17,17,64,52,32,-,-,-,10,7,3,8,3
03/05/17,33,27,22,21,19,17,80,55,35,1017,1017,1017,10,8,3,11,8
04/05/17,34,28,21,20,18,16,72,50,25,-,-,-,10,6,3,10,6
05/05/17,35,29,22,21,20,18,79,54,32,-,-,-,10,8,3,10,6
06/05/17,35,29,23,22,21,18,89,63,32,1016,1016,1016,10,7,3,19,10
07/05/17,36,29,22,20,18,15,88,62,38,1019,1015,1012,10,5,2,27,10
08/05/17,33,26,19,20,18,17,63,53,39,1016,1016,1016,10,8,3,19,8
09/05/17,33,28,22,21,20,18,78,65,46,1014,1014,1013,8,5,3,14,10
10/05/17,33,27,20,21,19,19,89,69,36,1015,1014,1011,10,6,3,14,8
11/05/17,31,26,20,21,20,18,84,72,54,1012,1012,1012,10,5,3,14,10
12/05/17,32,27,22,22,21,19,85,61,49,1011,1011,1011,10,8,3,10,8
13/05/17,33,27,22,22,21,18,90,62,36,-,-,-,3,3,3,10,6
14/05/17,34,29,23,22,20,17,88,68,47,1009,1009,1009,10,5,3,21,18
15/05/17,33,27,21,21,18,16,81,57,40,1013,1013,1013,10,8,3,27,13
16/05/17,35,28,22,22,20,18,75,57,30,1012,1010,1009,10,8,3,19,13
17/05/17,34,27,20,21,18,17,89,60,44,-,-,-,10,6,3,19,13
18/05/17,34,27,20,22,19,18,100,73,36,1019,1016,1012,10,5,3,19,14
19/05/17,32,26,19,21,19,18,81,60,34,-,-,-,10,7,3,19,14
20/05/17,34,28,21,21,19,17,94,70,35,1016,1015,1014,10,5,3,19,11
21/05/17,32,26,19,19,18,17,74,55,35,-,-,-,10,7,3,11,8
22/05/17,32,26,20,22,20,18,88,68,42,1016,1016,1016,10,5,3,14,11
23/05/17,33,26,18,22,19,18,68,51,34,-,-,-,10,8,3,19,10
24/05/17,34,27,20,19,19,18,79,58,35,1012,1012,1012,10,7,3,19,13
25/05/17,33,27,21,22,21,20,91,63,38,-,-,-,10,7,3,19,18
26/05/17,33,27,21,22,21,18,100,75,43,1014,1012,1010,10,7,3,29,21
27/05/17,31,26,19,22,20,19,94,82,59,1012,1010,1009,10,5,3,19,11
28/05/17,30,24,18,21,20,18,86,67,50,-,-,-,10,7,3,23,16
29/05/17,31,26,20,21,19,18,92,62,37,-,-,-,10,7,3,19,19
30/05/17,31,26,20,20,19,18,85,62,41,-,-,-,10,7,3,26,21
31/05/17,30,24,19,21,19,18,86,67,47,-,-,-,10,8,3,26,18
01/06/17,31,25,19,20,19,18,84,64,40,-,-,-,10,8,3,19,14
02/06/17,32,26,21,21,20,20,88,65,48,-,-,-,10,8,3,19,18
03/06/17,31,26,21,21,19,19,80,62,46,-,-,-,10,8,3,26,18
04/06/17,32,26,20,19,19,18,83,59,39,-,-,-,10,6,3,19,16
05/06/17,32,26,21,21,20,20,83,65,44,-,-,-,10,7,3,19,16
06/06/17,32,26,21,21,20,19,81,66,51,-,-,-,10,6,3,23,18
07/06/17,28,24,22,21,19,18,83,72,53,1012,1012,1012,10,7,3,23,16
08/06/17,29,24,21,20,19,18,75,63,50,-,-,-,10,7,3,27,19
09/06/17,28,24,20,22,20,19,94,80,60,1010,1009,1009,6,4,3,19,18
10/06/17,28,24,20,19,19,18,79,68,52,-,-,-,3,3,3,23,19
11/06/17,27,23,20,22,19,18,78,69,50,1011,1010,1009,10,9,6,29,26
12/06/17,26,23,19,21,19,19,88,81,71,1011,1011,1011,10,5,2,27,23
13/06/17,29,24,20,22,21,19,94,78,49,1011,1010,1009,10,5,3,27,14
14/06/17,31,26,21,21,20,19,83,65,39,1013,1013,1013,10,8,3,26,16
15/06/17,31,26,20,20,19,19,84,66,49,-,-,-,10,8,3,26,19
16/06/17,29,24,20,22,21,19,94,87,61,1013,1012,1011,10,5,3,19,13
17/06/17,28,23,19,21,21,20,91,75,58,-,-,-,10,5,3,19,13
18/06/17,29,24,19,22,21,19,94,79,59,1012,1012,1012,10,6,3,19,13
19/06/17,28,24,20,21,21,20,91,77,57,-,-,-,10,5,3,14,10
20/06/17,28,24,20,22,21,20,90,82,69,1010,1010,1010,10,7,3,27,16
21/06/17,30,24,19,20,19,18,91,69,50,-,-,-,10,7,3,19,16
22/06/17,29,24,19,21,20,19,92,73,53,1013,1013,1013,10,7,3,23,18
23/06/17,31,25,19,21,19,18,92,68,46,-,-,-,10,8,3,27,18
24/06/17,30,25,20,21,20,19,84,71,54,-,-,-,10,7,3,27,21
25/06/17,29,24,19,20,19,18,88,72,57,-,-,-,10,8,3,23,19
26/06/17,29,24,20,20,19,18,87,71,50,1009,1009,1009,10,7,3,23,19
27/06/17,31,25,19,20,19,19,85,77,56,-,-,-,10,5,3,24,18
28/06/17,31,25,19,20,19,18,92,70,46,-,-,-,10,7,3,27,24
29/06/17,29,24,19,20,19,18,90,69,50,-,-,-,10,6,3,27,18
30/06/17,29,24,20,19,19,18,84,68,49,-,-,-,10,6,3,26,21
